#           k/h    P           
    0.63906E-01    0.10892E+05
    0.65197E-01    0.10689E+05
    0.66514E-01    0.10473E+05
    0.67858E-01    0.10249E+05
    0.69229E-01    0.10019E+05
    0.70627E-01    0.97825E+04
    0.72054E-01    0.95326E+04
    0.73510E-01    0.92647E+04
    0.74994E-01    0.89801E+04
    0.76509E-01    0.86851E+04
    0.78055E-01    0.83854E+04
    0.79632E-01    0.80837E+04
    0.81241E-01    0.77819E+04
    0.82882E-01    0.74824E+04
    0.84556E-01    0.71887E+04
    0.86264E-01    0.69040E+04
    0.88007E-01    0.66314E+04
    0.89785E-01    0.63736E+04
    0.91598E-01    0.61331E+04
    0.93449E-01    0.59115E+04
    0.95337E-01    0.57104E+04
    0.97263E-01    0.55305E+04
    0.99227E-01    0.53712E+04
    0.10123E+00    0.52319E+04
    0.10328E+00    0.51107E+04
    0.10536E+00    0.50049E+04
    0.10749E+00    0.49117E+04
    0.10966E+00    0.48273E+04
    0.11188E+00    0.47480E+04
    0.11414E+00    0.46696E+04
    0.11644E+00    0.45879E+04
    0.11880E+00    0.44994E+04
    0.12120E+00    0.44009E+04
    0.12365E+00    0.42902E+04
    0.12614E+00    0.41666E+04
    0.12869E+00    0.40302E+04
    0.13129E+00    0.38828E+04
    0.13394E+00    0.37267E+04
    0.13665E+00    0.35650E+04
    0.13941E+00    0.34015E+04
    0.14223E+00    0.32404E+04
    0.14510E+00    0.30863E+04
    0.14803E+00    0.29437E+04
    0.15102E+00    0.28159E+04
    0.15407E+00    0.27050E+04
    0.15718E+00    0.26111E+04
    0.16036E+00    0.25326E+04
    0.16360E+00    0.24668E+04
    0.16690E+00    0.24104E+04
    0.17028E+00    0.23596E+04
    0.17371E+00    0.23105E+04
    0.17722E+00    0.22590E+04
    0.18080E+00    0.22010E+04
    0.18446E+00    0.21341E+04
    0.18818E+00    0.20577E+04
    0.19198E+00    0.19737E+04
    0.19586E+00    0.18852E+04
    0.19982E+00    0.17958E+04
    0.20386E+00    0.17091E+04
    0.20797E+00    0.16287E+04
    0.21218E+00    0.15572E+04
    0.21646E+00    0.14960E+04
    0.22083E+00    0.14448E+04
    0.22530E+00    0.14016E+04
    0.22985E+00    0.13634E+04
    0.23449E+00    0.13268E+04
    0.23923E+00    0.12886E+04
    0.24406E+00    0.12465E+04
    0.24899E+00    0.11996E+04
    0.25402E+00    0.11491E+04
    0.25915E+00    0.10972E+04
    0.26439E+00    0.10463E+04
    0.26973E+00    0.99877E+03
    0.27518E+00    0.95648E+03
    0.28074E+00    0.91993E+03
    0.28641E+00    0.88810E+03
    0.29219E+00    0.85904E+03
    0.29810E+00    0.83068E+03
    0.30412E+00    0.80141E+03
    0.31026E+00    0.77033E+03
    0.31653E+00    0.73777E+03
    0.32292E+00    0.70515E+03
    0.32945E+00    0.67403E+03
    0.33610E+00    0.64539E+03
    0.34289E+00    0.61963E+03
    0.34982E+00    0.59634E+03
    0.35689E+00    0.57439E+03
    0.36409E+00    0.55270E+03
    0.37145E+00    0.53069E+03
    0.37895E+00    0.50837E+03
    0.38661E+00    0.48641E+03
    0.39442E+00    0.46553E+03
    0.40239E+00    0.44613E+03
    0.41052E+00    0.42819E+03
    0.41881E+00    0.41123E+03
    0.42727E+00    0.39473E+03
    0.43590E+00    0.37841E+03
    0.44471E+00    0.36230E+03
    0.45369E+00    0.34679E+03
    0.46286E+00    0.33208E+03
    0.47221E+00    0.31825E+03
    0.48174E+00    0.30509E+03
    0.49148E+00    0.29238E+03
    0.50141E+00    0.28000E+03
    0.51153E+00    0.26799E+03
    0.52187E+00    0.25650E+03
    0.53241E+00    0.24556E+03
    0.54317E+00    0.23514E+03
    0.55414E+00    0.22512E+03
    0.56533E+00    0.21545E+03
    0.57675E+00    0.20614E+03
    0.58840E+00    0.19722E+03
    0.60029E+00    0.18870E+03
    0.61242E+00    0.18054E+03
    0.62479E+00    0.17270E+03
    0.63741E+00    0.16517E+03
    0.65029E+00    0.15796E+03
    0.66342E+00    0.15105E+03
    0.67683E+00    0.14443E+03
    0.69050E+00    0.13809E+03
    0.70445E+00    0.13201E+03
    0.71868E+00    0.12619E+03
    0.73320E+00    0.12061E+03
    0.74801E+00    0.11527E+03
    0.76312E+00    0.11016E+03
    0.77854E+00    0.10526E+03
    0.79426E+00    0.10057E+03
    0.81031E+00    0.96079E+02
    0.82668E+00    0.91780E+02
    0.84338E+00    0.87666E+02
    0.86041E+00    0.83730E+02
    0.87780E+00    0.79965E+02
    0.89553E+00    0.76362E+02
    0.91362E+00    0.72916E+02
    0.93208E+00    0.69619E+02
    0.95091E+00    0.66465E+02
    0.97011E+00    0.63448E+02
    0.98971E+00    0.60563E+02
    0.10097E+01    0.57805E+02
    0.10301E+01    0.55167E+02
    0.10509E+01    0.52646E+02
    0.10721E+01    0.50236E+02
    0.10938E+01    0.47933E+02
    0.11159E+01    0.45731E+02
    0.11384E+01    0.43628E+02
    0.11614E+01    0.41618E+02
    0.11849E+01    0.39698E+02
    0.12088E+01    0.37863E+02
    0.12333E+01    0.36111E+02
    0.12582E+01    0.34437E+02
    0.12836E+01    0.32838E+02
    0.13095E+01    0.31311E+02
    0.13360E+01    0.29853E+02
    0.13630E+01    0.28461E+02
    0.13905E+01    0.27131E+02
    0.14186E+01    0.25863E+02
    0.14472E+01    0.24651E+02
    0.14765E+01    0.23495E+02
    0.15063E+01    0.22391E+02
    0.15367E+01    0.21338E+02
    0.15678E+01    0.20333E+02
    0.15994E+01    0.19375E+02
    0.16318E+01    0.18460E+02
    0.16647E+01    0.17587E+02
    0.16984E+01    0.16754E+02
    0.17327E+01    0.15960E+02
    0.17677E+01    0.15202E+02
    0.18034E+01    0.14480E+02
    0.18398E+01    0.13791E+02
    0.18770E+01    0.13134E+02
    0.19149E+01    0.12507E+02
    0.19536E+01    0.11910E+02
    0.19930E+01    0.11340E+02
    0.20333E+01    0.10797E+02
    0.20744E+01    0.10280E+02
    0.21163E+01    0.97864E+01
    0.21590E+01    0.93162E+01
    0.22026E+01    0.88681E+01
    0.22471E+01    0.84410E+01
    0.22925E+01    0.80340E+01
    0.23388E+01    0.76463E+01
    0.23861E+01    0.72769E+01
    0.24343E+01    0.69249E+01
    0.24835E+01    0.65896E+01
    0.25336E+01    0.62701E+01
    0.25848E+01    0.59659E+01
    0.26370E+01    0.56761E+01
    0.26903E+01    0.54001E+01
    0.27447E+01    0.51372E+01
    0.28001E+01    0.48869E+01
    0.28567E+01    0.46485E+01
    0.29144E+01    0.44215E+01
    0.29733E+01    0.42054E+01
    0.30333E+01    0.39997E+01
    0.30946E+01    0.38038E+01
    0.31571E+01    0.36174E+01
    0.32209E+01    0.34399E+01
    0.32860E+01    0.32709E+01
    0.33523E+01    0.31101E+01
    0.34201E+01    0.29571E+01
    0.34892E+01    0.28115E+01
    0.35596E+01    0.26729E+01
    0.36316E+01    0.25410E+01
    0.37049E+01    0.24155E+01
    0.37798E+01    0.22961E+01
    0.38561E+01    0.21825E+01
    0.39340E+01    0.20745E+01
    0.40135E+01    0.19717E+01
    0.40946E+01    0.18739E+01
    0.41773E+01    0.17809E+01
    0.42617E+01    0.16924E+01
    0.43478E+01    0.16083E+01
    0.44356E+01    0.15282E+01
    0.45252E+01    0.14521E+01
    0.46166E+01    0.13796E+01
    0.47099E+01    0.13108E+01
    0.48050E+01    0.12453E+01
    0.49021E+01    0.11830E+01
    0.50011E+01    0.11237E+01
    0.51021E+01    0.10674E+01
    0.52052E+01    0.10139E+01
    0.53104E+01    0.96304E+00
    0.54176E+01    0.91469E+00
    0.55271E+01    0.86874E+00
    0.56387E+01    0.82508E+00
    0.57526E+01    0.78360E+00
    0.58689E+01    0.74419E+00
    0.59874E+01    0.70675E+00
    0.61084E+01    0.67119E+00
    0.62318E+01    0.63741E+00
    0.63577E+01    0.60533E+00
