#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    83    0.21829E+04   -0.12440E+02    0.58574E-05   -0.12440E+02    0.49464E+00   -0.66341E-08    0.58574E-05   -0.66341E-08    0.15290E-10
    84    0.22105E+04   -0.13014E+02    0.56991E-05   -0.13014E+02    0.50922E+00   -0.60491E-08    0.56991E-05   -0.60491E-08    0.14834E-10
    85    0.22382E+04   -0.13596E+02    0.55469E-05   -0.13596E+02    0.52385E+00   -0.59152E-08    0.55469E-05   -0.59152E-08    0.14397E-10
    86    0.22662E+04   -0.14183E+02    0.54011E-05   -0.14183E+02    0.53855E+00   -0.62790E-08    0.54011E-05   -0.62790E-08    0.13975E-10
    87    0.22945E+04   -0.14776E+02    0.52614E-05   -0.14776E+02    0.55329E+00   -0.70289E-08    0.52614E-05   -0.70289E-08    0.13570E-10
    88    0.23228E+04   -0.15374E+02    0.51272E-05   -0.15374E+02    0.56807E+00   -0.80139E-08    0.51272E-05   -0.80139E-08    0.13180E-10
    89    0.23515E+04   -0.15979E+02    0.49982E-05   -0.15979E+02    0.58289E+00   -0.90828E-08    0.49982E-05   -0.90828E-08    0.12803E-10
    90    0.23804E+04   -0.16589E+02    0.48738E-05   -0.16589E+02    0.59771E+00   -0.10085E-07    0.48738E-05   -0.10085E-07    0.12440E-10
    91    0.24094E+04   -0.17204E+02    0.47537E-05   -0.17204E+02    0.61252E+00   -0.10896E-07    0.47537E-05   -0.10896E-07    0.12090E-10
    92    0.24388E+04   -0.17824E+02    0.46376E-05   -0.17824E+02    0.62730E+00   -0.11504E-07    0.46376E-05   -0.11504E-07    0.11751E-10
    93    0.24684E+04   -0.18449E+02    0.45255E-05   -0.18449E+02    0.64205E+00   -0.11925E-07    0.45255E-05   -0.11925E-07    0.11424E-10
    94    0.24980E+04   -0.19077E+02    0.44172E-05   -0.19077E+02    0.65674E+00   -0.12174E-07    0.44172E-05   -0.12174E-07    0.11109E-10
    95    0.25280E+04   -0.19710E+02    0.43126E-05   -0.19710E+02    0.67136E+00   -0.12265E-07    0.43126E-05   -0.12265E-07    0.10805E-10
    96    0.25579E+04   -0.20346E+02    0.42114E-05   -0.20346E+02    0.68590E+00   -0.12215E-07    0.42114E-05   -0.12215E-07    0.10511E-10
